"4.16 - FAMÍLIAS CLÁSSICAS EM ALOJAMENTOS FAMILIARES, SEGUNDO O TIPO DE ALOJAMENTO FAMILIAR OCUPADO, O REGIME DE PROPRIEDADE E O TIPO DE OCUPAÇÃO DOS ALOJAMENTOS CLÁSSICOS E CONDIÇÕES DE HABITABILIDADE, POR TIPO DE FAMÍLIA NA BASE DA ESTRUTURA ETÁRIA E NÚMERO DE CRIANÇAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,Tipo de alojamento familiar,,,Regime de propriedade dos alojamentos familiares clássicos,,,,Tipo de ocupação alojamentos clássicos,,Em alojamentos clássicos super-lotados,Em aloj. não clássicos,,
"      Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",1887,1885,0,2,1161,40,511,173,1868,17,402,2,,
"      Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",10075,10072,0,3,8279,78,1284,431,10014,58,754,3,,
"      Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",16783,16772,1,10,13322,338,2075,1037,16670,102,4760,11,,
      Uma pessoa de idade inferior a 15 anos,9657,9651,1,5,7635,191,1200,625,9584,67,2100,6,,
      Duas pessoas de idade inferior a 15 anos,5989,5985,0,4,4895,118,642,330,5952,33,2048,4,,
      Três pessoas de idade inferior a 15 anos,968,968,0,0,703,22,174,69,967,1,494,0,,
      Quatro ou mais pessoas de idade inferior a 15 anos,169,168,0,1,89,7,59,13,167,1,118,1,,
      Três ou mais pessoas com 15 ou mais anos,33596,33583,5,8,26657,589,4621,1716,33431,152,11991,13,,
      Sem outras pessoas de idade inferior a 15 anos,22092,22082,4,6,17895,329,2842,1016,21973,109,6099,10,,
      Uma pessoa de idade inferior a 15 anos,8204,8201,1,2,6514,177,1039,471,8167,34,3707,3,,
      Duas pessoas ou mais de idade inferior a 15 anos,3300,3300,0,0,2248,83,740,229,3291,9,2185,0,,
      Outros casos,0,0,0,0,0,0,0,0,0,0,0,0,,
      Região Autónoma da Madeira,92717,92664,8,45,70678,1409,14505,6072,91688,976,20998,53,,
        Uma pessoa do sexo masculino com idade entre 15 e 24 anos,157,157,0,0,55,1,67,34,135,22,19,0,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,4849,4840,0,9,2910,63,1217,650,4637,203,558,9,,
        Uma pessoa do sexo masculino com 65 ou mais anos,1510,1506,1,3,1131,11,248,116,1488,18,116,4,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,121,120,0,1,43,1,51,25,102,18,26,1,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,5209,5206,0,3,3507,75,1164,460,5004,202,546,3,,
        Uma pessoa do sexo feminino com 65 ou mais anos,6219,6217,0,2,4769,52,873,523,6156,61,373,2,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",212,212,0,0,151,6,36,19,209,3,64,0,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1723,1721,0,2,1000,33,502,186,1690,31,643,2,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",135,135,0,0,40,2,63,30,134,1,25,0,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",10241,10238,1,2,7653,120,1793,672,10150,88,721,3,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",1887,1885,0,2,1161,40,511,173,1868,17,402,2,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",10075,10072,0,3,8279,78,1284,431,10014,58,754,3,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",16783,16772,1,10,13322,338,2075,1037,16670,102,4760,11,,
        Uma pessoa de idade inferior a 15 anos,9657,9651,1,5,7635,191,1200,625,9584,67,2100,6,,
        Duas pessoas de idade inferior a 15 anos,5989,5985,0,4,4895,118,642,330,5952,33,2048,4,,
        Três pessoas de idade inferior a 15 anos,968,968,0,0,703,22,174,69,967,1,494,0,,
        Quatro ou mais pessoas de idade inferior a 15 anos,169,168,0,1,89,7,59,13,167,1,118,1,,
        Três ou mais pessoas com 15 ou mais anos,33596,33583,5,8,26657,589,4621,1716,33431,152,11991,13,,
        Sem outras pessoas de idade inferior a 15 anos,22092,22082,4,6,17895,329,2842,1016,21973,109,6099,10,,
        Uma pessoa de idade inferior a 15 anos,8204,8201,1,2,6514,177,1039,471,8167,34,3707,3,,
        Duas pessoas ou mais de idade inferior a 15 anos,3300,3300,0,0,2248,83,740,229,3291,9,2185,0,,
        Outros casos,0,0,0,0,0,0,0,0,0,0,0,0,,
