"4.01 - FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES NESTAS, SEGUNDO O ESCALÃO ETÁRIO E A SITUAÇÃO PERANTE A ACTIVIDADE ECONÓMICA, POR TIPO DE FAMILIA NA BASE DA ESTRUTURA ETÁRIA DOS SEUS MEMBROS E NÚMERO DE CRIANÇAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas,Pessoas nas famílias clássicas,,,,,,,,,,,,
,,Total,,Com menos de 15 anos,,De 15 ou mais anos,,,,,,,,
        Uma pessoa do sexo masculino com idade entre 25 e 64 anos,4882,4882,4882,0,0,4882,4882,3792,3792,,,,,
        Uma pessoa do sexo masculino com 65 ou mais anos,1512,1512,1512,0,0,1512,1512,77,77,,,,,
        Uma pessoa do sexo feminino com idade entre 15 e 24 anos,127,127,0,0,0,127,0,89,0,,,,,
        Uma pessoa do sexo feminino com idade entre 25 e 64 anos,5222,5222,0,0,0,5222,0,3785,0,,,,,
        Uma pessoa do sexo feminino com 65 ou mais anos,6225,6225,0,0,0,6225,0,112,0,,,,,
"        Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",212,475,368,263,156,212,212,199,199,,,,,
"        Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",1724,4134,1232,2410,1232,1724,0,1513,0,,,,,
"        Duas pessoas, ambas com idade entre 15 e 24 anos",135,270,139,0,0,270,139,229,122,,,,,
"        Duas pessoas, ambas com idade entre 25 e 64 anos",10250,20500,9945,0,0,20500,9945,14819,7618,,,,,
"        Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",1890,3780,1453,0,0,3780,1453,2389,876,,,,,
"        Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",10077,20154,8523,0,0,20154,8523,3193,1649,,,,,
"        Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",16790,58841,29113,25261,12938,33580,16175,29323,14975,,,,,
        Uma pessoa de idade inferior a 15 anos,9659,28977,14143,9659,4941,19318,9202,16869,8421,,,,,
        Duas pessoas de idade inferior a 15 anos,5993,23972,11985,11986,6114,11986,5871,10619,5537,,,,,
        Três pessoas de idade inferior a 15 anos,969,4845,2450,2907,1509,1938,941,1594,873,,,,,
        Quatro ou mais pessoas de idade inferior a 15 anos,169,1047,535,709,374,338,161,241,144,,,,,
        Três ou mais pessoas com 15 ou mais anos,33604,138357,67744,15860,8110,122497,59634,67634,36756,,,,,
        Sem outras pessoas de idade inferior a 15 anos,22099,79675,39484,0,0,79675,39484,42629,23477,,,,,
        Uma pessoa de idade inferior a 15 anos,8205,38140,18423,8205,4218,29935,14205,17594,9298,,,,,
        Duas pessoas ou mais de idade inferior a 15 anos,3300,20542,9837,7655,3892,12887,5945,7411,3981,,,,,
        Outros casos,0,0,0,0,0,0,0,0,0,,,,,
