"6.17 - POPULAÇÃO RESIDENTE, SEGUNDO O ESTADO CIVIL LEGAL E SEXO, POR GRUPO SÓCIO-ECONÓMICO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
Grupo sócio-económico,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
        Assalariados do sector primário,3551,3397,1234,1197,2066,1976,218,197,33,27,,,,,,,,,,,,,,,,,,
        Trabalhadores administrativos do comércio e serviços não qualificados,13653,3787,2691,1275,9155,2237,1284,244,523,31,,,,,,,,,,,,,,,,,,
        Operários não qualificados,4252,3722,1936,1835,1993,1633,276,231,47,23,,,,,,,,,,,,,,,,,,
        Trabalhadores não qualificados do sector primário,719,669,241,236,421,383,47,43,10,7,,,,,,,,,,,,,,,,,,
        Pessoal das forças armadas,1224,1054,720,597,438,400,63,54,3,3,,,,,,,,,,,,,,,,,,
        Outras pessoas activas n.e.,3495,1646,2506,1430,860,178,112,36,17,2,,,,,,,,,,,,,,,,,,
        Inactivos,131852,56876,72910,36867,41306,16435,3113,1362,14523,2212,,,,,,,,,,,,,,,,,,
      Região Autónoma dos Açores,246772,121534,106223,57352,111524,55744,12612,5801,16413,2637,,,,,,,,,,,,,,,,,,
"          Empresários com profissões intelectuais, científicas e técnicas",599,292,179,61,348,199,61,29,11,3,,,,,,,,,,,,,,,,,,
          Empresários da indústria comércio e serviços,1807,1269,357,243,1269,915,156,100,25,11,,,,,,,,,,,,,,,,,,
          Empresários do sector primário,116,105,14,11,96,89,6,5,0,0,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões intelectuais e científicas,393,227,115,70,224,127,50,30,4,0,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões técnicas intermédias,398,272,81,56,285,199,30,17,2,0,,,,,,,,,,,,,,,,,,
          Pequenos patrões da indústria,2502,2147,384,351,1904,1636,175,142,39,18,,,,,,,,,,,,,,,,,,
          Pequenos patrões do comércio e serviços,2185,1139,370,209,1550,815,212,103,53,12,,,,,,,,,,,,,,,,,,
          Pequenos patrões do sector primário,1366,1211,263,257,1014,879,59,55,30,20,,,,,,,,,,,,,,,,,,
          Profissionais intelectuais e científicos independentes,356,242,125,73,182,133,45,33,4,3,,,,,,,,,,,,,,,,,,
          Profissionais técnicos intermédios independentes,369,270,84,61,242,176,40,31,3,2,,,,,,,,,,,,,,,,,,
          Trabalhadores industriais e artesanais independentes,1999,1853,365,346,1426,1321,181,168,27,18,,,,,,,,,,,,,,,,,,
          Prestadores de serviços e comerciantes independentes,2523,805,373,129,1771,585,275,76,104,15,,,,,,,,,,,,,,,,,,
          Trabalhadores independentes do sector primário,3467,2977,782,751,2499,2075,130,119,56,32,,,,,,,,,,,,,,,,,,
          Directores e quadros dirigentes do Estado e empresas,1465,974,315,189,1014,707,126,73,10,5,,,,,,,,,,,,,,,,,,
          Dirigentes de pequenas empresas e organizações,442,272,111,68,285,178,42,24,4,2,,,,,,,,,,,,,,,,,,
          Quadros intelectuais e científicos,12189,4008,4491,1490,6627,2216,988,290,83,12,,,,,,,,,,,,,,,,,,
          Quadros técnicos intermédios,8247,4993,2521,1458,4989,3151,655,367,82,17,,,,,,,,,,,,,,,,,,
          Quadros administrativos intermédios,1220,414,299,84,779,296,127,31,15,3,,,,,,,,,,,,,,,,,,
          Empregados administrativos do comércio e serviços,27784,10103,8005,3519,16558,5843,2709,695,512,46,,,,,,,,,,,,,,,,,,
          Operários qualificados e semi-qualificados,18599,16810,4751,4489,12223,10962,1432,1246,193,113,,,,,,,,,,,,,,,,,,
          Assalariados do sector primário,3551,3397,1234,1197,2066,1976,218,197,33,27,,,,,,,,,,,,,,,,,,
          Trabalhadores administrativos do comércio e serviços não qualificados,13653,3787,2691,1275,9155,2237,1284,244,523,31,,,,,,,,,,,,,,,,,,
          Operários não qualificados,4252,3722,1936,1835,1993,1633,276,231,47,23,,,,,,,,,,,,,,,,,,
          Trabalhadores não qualificados do sector primário,719,669,241,236,421,383,47,43,10,7,,,,,,,,,,,,,,,,,,
          Pessoal das forças armadas,1224,1054,720,597,438,400,63,54,3,3,,,,,,,,,,,,,,,,,,
          Outras pessoas activas n.e.,3495,1646,2506,1430,860,178,112,36,17,2,,,,,,,,,,,,,,,,,,
          Inactivos,131852,56876,72910,36867,41306,16435,3113,1362,14523,2212,,,,,,,,,,,,,,,,,,
    Região Autónoma da Madeira,267785,126268,120911,61013,113335,56410,13617,5889,19922,2956,,,,,,,,,,,,,,,,,,
"        Empresários com profissões intelectuais, científicas e técnicas",740,394,274,127,385,226,74,40,7,1,,,,,,,,,,,,,,,,,,
        Empresários da indústria comércio e serviços,2041,1387,478,299,1336,963,178,108,49,17,,,,,,,,,,,,,,,,,,
        Empresários do sector primário,55,46,14,12,38,33,2,1,1,0,,,,,,,,,,,,,,,,,,
        Pequenos patrões com profissões intelectuais e científicas,610,383,200,109,341,230,61,40,8,4,,,,,,,,,,,,,,,,,,
        Pequenos patrões com profissões técnicas intermédias,565,393,121,79,368,271,68,41,8,2,,,,,,,,,,,,,,,,,,
        Pequenos patrões da indústria,2431,2119,403,364,1797,1569,200,169,31,17,,,,,,,,,,,,,,,,,,
        Pequenos patrões do comércio e serviços,2964,1710,591,341,2041,1235,253,115,79,19,,,,,,,,,,,,,,,,,,
        Pequenos patrões do sector primário,520,327,88,46,396,260,18,17,18,4,,,,,,,,,,,,,,,,,,
        Profissionais intelectuais e científicos independentes,421,265,186,110,193,125,41,29,1,1,,,,,,,,,,,,,,,,,,
        Profissionais técnicos intermédios independentes,481,370,134,107,267,206,70,52,10,5,,,,,,,,,,,,,,,,,,
        Trabalhadores industriais e artesanais independentes,1758,1592,282,260,1275,1170,161,144,40,18,,,,,,,,,,,,,,,,,,
        Prestadores de serviços e comerciantes independentes,2395,857,474,174,1536,585,254,78,131,20,,,,,,,,,,,,,,,,,,
        Trabalhadores independentes do sector primário,1673,1020,332,225,1141,710,80,60,120,25,,,,,,,,,,,,,,,,,,
        Directores e quadros dirigentes do Estado e empresas,2132,1276,574,296,1318,846,219,123,21,11,,,,,,,,,,,,,,,,,,
        Dirigentes de pequenas empresas e organizações,540,289,186,98,296,170,50,19,8,2,,,,,,,,,,,,,,,,,,
        Quadros intelectuais e científicos,15237,5036,6267,2095,7731,2640,1151,292,88,9,,,,,,,,,,,,,,,,,,
        Quadros técnicos intermédios,8261,4916,2902,1687,4593,2856,701,357,65,16,,,,,,,,,,,,,,,,,,
        Quadros administrativos intermédios,1828,581,490,134,1109,400,199,43,30,4,,,,,,,,,,,,,,,,,,
        Empregados administrativos do comércio e serviços,37570,13510,13250,5373,20130,7137,3364,933,826,67,,,,,,,,,,,,,,,,,,
        Operários qualificados e semi-qualificados,19719,18137,5293,4972,12868,11835,1320,1201,238,129,,,,,,,,,,,,,,,,,,
        Assalariados do sector primário,2490,2143,708,632,1589,1369,132,110,61,32,,,,,,,,,,,,,,,,,,
        Trabalhadores administrativos do comércio e serviços não qualificados,14633,3599,3598,1349,8909,1968,1305,253,821,29,,,,,,,,,,,,,,,,,,
        Operários não qualificados,3628,3261,1516,1431,1878,1651,186,155,48,24,,,,,,,,,,,,,,,,,,
        Trabalhadores não qualificados do sector primário,135,101,42,32,82,63,7,5,4,1,,,,,,,,,,,,,,,,,,
        Pessoal das forças armadas,734,656,487,425,220,208,25,21,2,2,,,,,,,,,,,,,,,,,,
        Outras pessoas activas n.e.,3923,1913,2868,1547,887,303,130,58,38,5,,,,,,,,,,,,,,,,,,
        Inactivos,140301,59987,79153,38689,40611,17381,3368,1425,17169,2492,,,,,,,,,,,,,,,,,,
      Região Autónoma da Madeira,267785,126268,120911,61013,113335,56410,13617,5889,19922,2956,,,,,,,,,,,,,,,,,,
"          Empresários com profissões intelectuais, científicas e técnicas",740,394,274,127,385,226,74,40,7,1,,,,,,,,,,,,,,,,,,
          Empresários da indústria comércio e serviços,2041,1387,478,299,1336,963,178,108,49,17,,,,,,,,,,,,,,,,,,
          Empresários do sector primário,55,46,14,12,38,33,2,1,1,0,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões intelectuais e científicas,610,383,200,109,341,230,61,40,8,4,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões técnicas intermédias,565,393,121,79,368,271,68,41,8,2,,,,,,,,,,,,,,,,,,
          Pequenos patrões da indústria,2431,2119,403,364,1797,1569,200,169,31,17,,,,,,,,,,,,,,,,,,
          Pequenos patrões do comércio e serviços,2964,1710,591,341,2041,1235,253,115,79,19,,,,,,,,,,,,,,,,,,
          Pequenos patrões do sector primário,520,327,88,46,396,260,18,17,18,4,,,,,,,,,,,,,,,,,,
          Profissionais intelectuais e científicos independentes,421,265,186,110,193,125,41,29,1,1,,,,,,,,,,,,,,,,,,
          Profissionais técnicos intermédios independentes,481,370,134,107,267,206,70,52,10,5,,,,,,,,,,,,,,,,,,
          Trabalhadores industriais e artesanais independentes,1758,1592,282,260,1275,1170,161,144,40,18,,,,,,,,,,,,,,,,,,
          Prestadores de serviços e comerciantes independentes,2395,857,474,174,1536,585,254,78,131,20,,,,,,,,,,,,,,,,,,
          Trabalhadores independentes do sector primário,1673,1020,332,225,1141,710,80,60,120,25,,,,,,,,,,,,,,,,,,
          Directores e quadros dirigentes do Estado e empresas,2132,1276,574,296,1318,846,219,123,21,11,,,,,,,,,,,,,,,,,,
          Dirigentes de pequenas empresas e organizações,540,289,186,98,296,170,50,19,8,2,,,,,,,,,,,,,,,,,,
          Quadros intelectuais e científicos,15237,5036,6267,2095,7731,2640,1151,292,88,9,,,,,,,,,,,,,,,,,,
          Quadros técnicos intermédios,8261,4916,2902,1687,4593,2856,701,357,65,16,,,,,,,,,,,,,,,,,,
          Quadros administrativos intermédios,1828,581,490,134,1109,400,199,43,30,4,,,,,,,,,,,,,,,,,,
          Empregados administrativos do comércio e serviços,37570,13510,13250,5373,20130,7137,3364,933,826,67,,,,,,,,,,,,,,,,,,
          Operários qualificados e semi-qualificados,19719,18137,5293,4972,12868,11835,1320,1201,238,129,,,,,,,,,,,,,,,,,,
          Assalariados do sector primário,2490,2143,708,632,1589,1369,132,110,61,32,,,,,,,,,,,,,,,,,,
          Trabalhadores administrativos do comércio e serviços não qualificados,14633,3599,3598,1349,8909,1968,1305,253,821,29,,,,,,,,,,,,,,,,,,
          Operários não qualificados,3628,3261,1516,1431,1878,1651,186,155,48,24,,,,,,,,,,,,,,,,,,
          Trabalhadores não qualificados do sector primário,135,101,42,32,82,63,7,5,4,1,,,,,,,,,,,,,,,,,,
          Pessoal das forças armadas,734,656,487,425,220,208,25,21,2,2,,,,,,,,,,,,,,,,,,
          Outras pessoas activas n.e.,3923,1913,2868,1547,887,303,130,58,38,5,,,,,,,,,,,,,,,,,,
          Inactivos,140301,59987,79153,38689,40611,17381,3368,1425,17169,2492,,,,,,,,,,,,,,,,,,
