"4.02 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS, POR TIPO DE FAMÍLIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Total de pessoas,,,
Tipo de família com base no número de núcleos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
          Famílias com três ou mais núcleos,957,0,0,0,0,0,208,204,212,333,7755,,,
            Famílias com três ou mais núcleos sem outras pessoas,774,0,0,0,0,0,208,177,169,220,6058,,,
            Famílias com três ou mais núcleos com outras pessoas,183,0,0,0,0,0,0,27,43,113,1697,,,
      Alentejo,302975,71676,103694,68492,44375,10774,2866,711,244,143,741454,,,
          Famílias sem núcleos,75850,71676,3564,455,115,22,8,6,2,2,80864,,,
            Famílias sem núcleos com uma só pessoa,71676,71676,0,0,0,0,0,0,0,0,71676,,,
            Famílias sem núcleos só pessoas aparentadas,3110,0,2729,315,57,4,1,3,1,0,6686,,,
            Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,1064,0,835,140,58,18,7,3,1,2,2502,,,
          Famílias com um núcleo,221053,0,100130,68037,42136,8602,1637,357,105,49,629545,,,
            Casal de direito sem filhos,77224,0,72447,4387,327,50,10,2,0,1,159696,,,
              Casal de direito sem filhos sem outras pessoas,72447,0,72447,0,0,0,0,0,0,0,144894,,,
              Casal de direito sem filhos com outras pessoas,4777,0,0,4387,327,50,10,2,0,1,14802,,,
            Casal de direito com pelo menos um filho com menos de 25 anos,69037,0,0,30485,31275,6029,991,184,53,20,254546,,,
              Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,65225,0,0,30485,29521,4393,663,117,31,15,236691,,,
              Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,3812,0,0,0,1754,1636,328,67,22,5,17855,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,19800,0,0,15741,3570,427,53,7,2,0,64021,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,18234,0,0,15741,2342,137,11,3,0,0,57363,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,1566,0,0,0,1228,290,42,4,2,0,6658,,,
            Casal de facto sem filhos,10841,0,10058,711,63,6,3,0,0,0,22549,,,
              Casal de facto sem filhos sem outras pessoas,10058,0,10058,0,0,0,0,0,0,0,20116,,,
              Casal de facto sem filhos com outras pessoas,783,0,0,711,63,6,3,0,0,0,2433,,,
            Casal de facto com pelo menos um filho com menos de 25 anos,15993,0,0,8420,5120,1744,496,143,46,24,59028,,,
              Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,14928,0,0,8420,4566,1399,378,109,38,18,54019,,,
              Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,1065,0,0,0,554,345,118,34,8,6,5009,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,835,0,0,650,152,29,4,0,0,0,2727,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,760,0,0,650,95,14,1,0,0,0,2406,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,75,0,0,0,57,15,3,0,0,0,321,,,
            Pai com pelo menos um filho com menos de 25 anos,2152,0,1235,727,164,19,4,2,0,1,5449,,,
              Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,1845,0,1235,513,87,8,0,1,0,1,4413,,,
              Pai com pelo menos um filho com menos de 25 anos com outras pessoas,307,0,0,214,77,11,4,1,0,0,1036,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos,1937,0,1644,267,20,4,1,1,0,0,4202,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,1837,0,1644,186,5,2,0,0,0,0,3876,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,100,0,0,81,15,2,1,1,0,0,326,,,
            Mãe com pelo menos um filho com menos de 25 anos,12963,0,6417,4995,1216,249,65,16,4,1,34472,,,
              Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,11270,0,6417,3906,776,124,35,11,1,0,28571,,,
              Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,1693,0,0,1089,440,125,30,5,3,1,5901,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos,10271,0,8329,1654,229,45,10,2,0,2,22855,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,9484,0,8329,1030,107,13,4,1,0,0,20272,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,787,0,0,624,122,32,6,1,0,2,2583,,,
          Famílias com dois núcleos,5912,0,0,0,2124,2150,1192,300,97,49,29749,,,
            Famílias sem filhos nos dois núcleos,795,0,0,0,702,81,9,1,0,2,3294,,,
              Famílias sem filhos nos dois núcleos sem outras pessoas,702,0,0,0,702,0,0,0,0,0,2808,,,
              Famílias sem filhos nos dois núcleos com outras pessoas,93,0,0,0,0,81,9,1,0,2,486,,,
            Famílias com filhos só num dos núcleos,3421,0,0,0,1188,1413,678,109,21,12,16927,,,
              Famílias com filhos só num dos núcleos sem outras pessoas,3133,0,0,0,1188,1324,542,62,12,5,15200,,,
              Famílias com filhos só num dos núcleos com outras pessoas,288,0,0,0,0,89,136,47,9,7,1727,,,
            Famílias com filhos nos dois núcleos,1696,0,0,0,234,656,505,190,76,35,9528,,,
              Famílias com filhos nos dois núcleos sem outras pessoas,1507,0,0,0,234,623,442,139,48,21,8263,,,
              Famílias com filhos nos dois núcleos com outras pessoas,189,0,0,0,0,33,63,51,28,14,1265,,,
          Famílias com três ou mais núcleos,160,0,0,0,0,0,29,48,40,43,1296,,,
            Famílias com três ou mais núcleos sem outras pessoas,135,0,0,0,0,0,29,40,35,31,1058,,,
            Famílias com três ou mais núcleos com outras pessoas,25,0,0,0,0,0,0,8,5,12,238,,,
      Algarve,182776,45493,60708,40600,26387,6658,2122,512,176,120,446441,,,
          Famílias sem núcleos,48882,45493,2922,369,66,20,8,0,3,1,52890,,,
            Famílias sem núcleos com uma só pessoa,45493,45493,0,0,0,0,0,0,0,0,45493,,,
            Famílias sem núcleos só pessoas aparentadas,2139,0,1902,207,20,8,2,0,0,0,4557,,,
            Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,1250,0,1020,162,46,12,6,0,3,1,2840,,,
          Famílias com um núcleo,128933,0,57786,40231,24667,4921,1054,184,55,35,367917,,,
            Casal de direito sem filhos,39289,0,36507,2552,195,29,5,0,0,1,81635,,,
              Casal de direito sem filhos sem outras pessoas,36507,0,36507,0,0,0,0,0,0,0,73014,,,
              Casal de direito sem filhos com outras pessoas,2782,0,0,2552,195,29,5,0,0,1,8621,,,
            Casal de direito com pelo menos um filho com menos de 25 anos,37482,0,0,16591,16907,3226,606,100,33,19,138308,,,
              Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,35158,0,0,16591,15852,2252,369,69,17,8,127350,,,
              Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,2324,0,0,0,1055,974,237,31,16,11,10958,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,9240,0,0,7249,1758,201,31,1,0,0,29977,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,8392,0,0,7249,1076,62,5,0,0,0,26391,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,848,0,0,0,682,139,26,1,0,0,3586,,,
            Casal de facto sem filhos,9621,0,8940,613,57,8,3,0,0,0,20005,,,
              Casal de facto sem filhos sem outras pessoas,8940,0,8940,0,0,0,0,0,0,0,17880,,,
              Casal de facto sem filhos com outras pessoas,681,0,0,613,57,8,3,0,0,0,2125,,,
            Casal de facto com pelo menos um filho com menos de 25 anos,13051,0,0,7106,4316,1186,344,69,18,12,47314,,,
              Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,12179,0,0,7106,3833,919,252,47,13,9,43274,,,
              Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,872,0,0,0,483,267,92,22,5,3,4040,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,661,0,0,511,125,20,4,0,1,0,2165,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,586,0,0,511,69,5,1,0,0,0,1840,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,75,0,0,0,56,15,3,0,1,0,325,,,
            Pai com pelo menos um filho com menos de 25 anos,1692,0,988,567,98,28,7,1,1,2,4286,,,
              Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,1442,0,988,386,52,13,2,1,0,0,3426,,,
              Pai com pelo menos um filho com menos de 25 anos com outras pessoas,250,0,0,181,46,15,5,0,1,2,860,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos,1119,0,936,162,16,3,2,0,0,0,2449,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,1045,0,936,102,5,1,1,0,0,0,2209,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,74,0,0,60,11,2,1,0,0,0,240,,,
            Mãe com pelo menos um filho com menos de 25 anos,10775,0,5619,3880,1024,191,45,13,2,1,28315,,,
              Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,9321,0,5619,2985,593,102,17,4,1,0,23213,,,
              Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,1454,0,0,895,431,89,28,9,1,1,5102,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos,6003,0,4796,1000,171,29,7,0,0,0,13463,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,5477,0,4796,597,69,12,3,0,0,0,11737,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,526,0,0,403,102,17,4,0,0,0,1726,,,
          Famílias com dois núcleos,4813,0,0,0,1654,1717,1029,287,92,34,24443,,,
            Famílias sem filhos nos dois núcleos,608,0,0,0,528,68,12,0,0,0,2524,,,
              Famílias sem filhos nos dois núcleos sem outras pessoas,528,0,0,0,528,0,0,0,0,0,2112,,,
              Famílias sem filhos nos dois núcleos com outras pessoas,80,0,0,0,0,68,12,0,0,0,412,,,
            Famílias com filhos só num dos núcleos,2610,0,0,0,872,1090,522,103,18,5,12981,,,
              Famílias com filhos só num dos núcleos sem outras pessoas,2331,0,0,0,872,986,408,55,7,3,11335,,,
              Famílias com filhos só num dos núcleos com outras pessoas,279,0,0,0,0,104,114,48,11,2,1646,,,
            Famílias com filhos nos dois núcleos,1595,0,0,0,254,559,495,184,74,29,8938,,,
              Famílias com filhos nos dois núcleos sem outras pessoas,1378,0,0,0,254,518,406,137,49,14,7525,,,
              Famílias com filhos nos dois núcleos com outras pessoas,217,0,0,0,0,41,89,47,25,15,1413,,,
          Famílias com três ou mais núcleos,148,0,0,0,0,0,31,41,26,50,1191,,,
            Famílias com três ou mais núcleos sem outras pessoas,126,0,0,0,0,0,31,38,22,35,976,,,
            Famílias com três ou mais núcleos com outras pessoas,22,0,0,0,0,0,0,3,4,15,215,,,
    Região Autónoma dos Açores,81715,14006,20871,19231,16295,6708,2668,989,436,511,243882,,,
        Famílias sem núcleos,15529,14006,1283,189,38,8,5,0,0,0,17361,,,
          Famílias sem núcleos com uma só pessoa,14006,14006,0,0,0,0,0,0,0,0,14006,,,
          Famílias sem núcleos só pessoas aparentadas,1176,0,995,152,21,5,3,0,0,0,2573,,,
          Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,347,0,288,37,17,3,2,0,0,0,782,,,
        Famílias com um núcleo,61574,0,19588,19042,15373,5436,1525,404,135,71,198718,,,
          Casal de direito sem filhos,14264,0,12967,1179,102,13,2,1,0,0,29963,,,
            Casal de direito sem filhos sem outras pessoas,12967,0,12967,0,0,0,0,0,0,0,25934,,,
            Casal de direito sem filhos com outras pessoas,1297,0,0,1179,102,13,2,1,0,0,4029,,,
          Casal de direito com pelo menos um filho com menos de 25 anos,28858,0,0,10395,12305,4442,1232,323,106,55,113652,,,
            Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,26077,0,0,10395,11302,3315,773,196,64,32,99797,,,
            Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,2781,0,0,0,1003,1127,459,127,42,23,13855,,,
          Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,4628,0,0,3263,1101,214,40,6,2,2,15579,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,4109,0,0,3263,727,98,17,3,0,1,13319,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,519,0,0,0,374,116,23,3,2,1,2260,,,
          Casal de facto sem filhos,2329,0,2105,189,29,6,0,0,0,0,4923,,,
            Casal de facto sem filhos sem outras pessoas,2105,0,2105,0,0,0,0,0,0,0,4210,,,
            Casal de facto sem filhos com outras pessoas,224,0,0,189,29,6,0,0,0,0,713,,,
          Casal de facto com pelo menos um filho com menos de 25 anos,3059,0,0,1392,959,477,152,55,17,7,11896,,,
            Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,2745,0,0,1392,817,374,112,36,9,5,10358,,,
            Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,314,0,0,0,142,103,40,19,8,2,1538,,,
          Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,93,0,0,71,19,3,0,0,0,0,304,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,84,0,0,71,11,2,0,0,0,0,267,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,9,0,0,0,8,1,0,0,0,0,37,,,
          Pai com pelo menos um filho com menos de 25 anos,618,0,296,235,63,14,9,1,0,0,1680,,,
            Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,516,0,296,174,36,6,4,0,0,0,1312,,,
            Pai com pelo menos um filho com menos de 25 anos com outras pessoas,102,0,0,61,27,8,5,1,0,0,368,,,
          Pai com filho(s) tendo o mais novo 25 ou mais anos,490,0,377,89,19,4,1,0,0,0,1123,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,453,0,377,68,7,1,0,0,0,0,991,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,37,0,0,21,12,3,1,0,0,0,132,,,
          Mãe com pelo menos um filho com menos de 25 anos,4133,0,1619,1544,643,220,75,15,10,7,12243,,,
            Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,3442,0,1619,1207,426,131,50,4,3,2,9588,,,
            Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,691,0,0,337,217,89,25,11,7,5,2655,,,
          Mãe com filho(s) tendo o mais novo 25 ou mais anos,3102,0,2224,685,133,43,14,3,0,0,7355,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,2824,0,2224,492,77,23,7,1,0,0,6396,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,278,0,0,193,56,20,7,2,0,0,959,,,
        Famílias com dois núcleos,4257,0,0,0,884,1264,1112,542,245,210,24336,,,
          Famílias sem filhos nos dois núcleos,472,0,0,0,394,68,7,1,2,0,1981,,,
            Famílias sem filhos nos dois núcleos sem outras pessoas,394,0,0,0,394,0,0,0,0,0,1576,,,
            Famílias sem filhos nos dois núcleos com outras pessoas,78,0,0,0,0,68,7,1,2,0,405,,,
          Famílias com filhos só num dos núcleos,1908,0,0,0,349,785,535,170,52,17,10294,,,
            Famílias com filhos só num dos núcleos sem outras pessoas,1608,0,0,0,349,731,399,100,21,8,8385,,,
            Famílias com filhos só num dos núcleos com outras pessoas,300,0,0,0,0,54,136,70,31,9,1909,,,
          Famílias com filhos nos dois núcleos,1877,0,0,0,141,411,570,371,191,193,12061,,,
            Famílias com filhos nos dois núcleos sem outras pessoas,1589,0,0,0,141,395,507,295,134,117,9863,,,
            Famílias com filhos nos dois núcleos com outras pessoas,288,0,0,0,0,16,63,76,57,76,2198,,,
        Famílias com três ou mais núcleos,355,0,0,0,0,0,26,43,56,230,3467,,,
          Famílias com três ou mais núcleos sem outras pessoas,286,0,0,0,0,0,26,39,52,169,2699,,,
          Famílias com três ou mais núcleos com outras pessoas,69,0,0,0,0,0,0,4,4,61,768,,,
      Região Autónoma dos Açores,81715,14006,20871,19231,16295,6708,2668,989,436,511,243882,,,
          Famílias sem núcleos,15529,14006,1283,189,38,8,5,0,0,0,17361,,,
            Famílias sem núcleos com uma só pessoa,14006,14006,0,0,0,0,0,0,0,0,14006,,,
            Famílias sem núcleos só pessoas aparentadas,1176,0,995,152,21,5,3,0,0,0,2573,,,
            Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,347,0,288,37,17,3,2,0,0,0,782,,,
          Famílias com um núcleo,61574,0,19588,19042,15373,5436,1525,404,135,71,198718,,,
            Casal de direito sem filhos,14264,0,12967,1179,102,13,2,1,0,0,29963,,,
              Casal de direito sem filhos sem outras pessoas,12967,0,12967,0,0,0,0,0,0,0,25934,,,
              Casal de direito sem filhos com outras pessoas,1297,0,0,1179,102,13,2,1,0,0,4029,,,
            Casal de direito com pelo menos um filho com menos de 25 anos,28858,0,0,10395,12305,4442,1232,323,106,55,113652,,,
              Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,26077,0,0,10395,11302,3315,773,196,64,32,99797,,,
              Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,2781,0,0,0,1003,1127,459,127,42,23,13855,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,4628,0,0,3263,1101,214,40,6,2,2,15579,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,4109,0,0,3263,727,98,17,3,0,1,13319,,,
              Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,519,0,0,0,374,116,23,3,2,1,2260,,,
            Casal de facto sem filhos,2329,0,2105,189,29,6,0,0,0,0,4923,,,
              Casal de facto sem filhos sem outras pessoas,2105,0,2105,0,0,0,0,0,0,0,4210,,,
              Casal de facto sem filhos com outras pessoas,224,0,0,189,29,6,0,0,0,0,713,,,
            Casal de facto com pelo menos um filho com menos de 25 anos,3059,0,0,1392,959,477,152,55,17,7,11896,,,
              Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,2745,0,0,1392,817,374,112,36,9,5,10358,,,
              Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,314,0,0,0,142,103,40,19,8,2,1538,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,93,0,0,71,19,3,0,0,0,0,304,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,84,0,0,71,11,2,0,0,0,0,267,,,
              Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,9,0,0,0,8,1,0,0,0,0,37,,,
            Pai com pelo menos um filho com menos de 25 anos,618,0,296,235,63,14,9,1,0,0,1680,,,
              Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,516,0,296,174,36,6,4,0,0,0,1312,,,
              Pai com pelo menos um filho com menos de 25 anos com outras pessoas,102,0,0,61,27,8,5,1,0,0,368,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos,490,0,377,89,19,4,1,0,0,0,1123,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,453,0,377,68,7,1,0,0,0,0,991,,,
              Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,37,0,0,21,12,3,1,0,0,0,132,,,
            Mãe com pelo menos um filho com menos de 25 anos,4133,0,1619,1544,643,220,75,15,10,7,12243,,,
              Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,3442,0,1619,1207,426,131,50,4,3,2,9588,,,
              Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,691,0,0,337,217,89,25,11,7,5,2655,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos,3102,0,2224,685,133,43,14,3,0,0,7355,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,2824,0,2224,492,77,23,7,1,0,0,6396,,,
              Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,278,0,0,193,56,20,7,2,0,0,959,,,
          Famílias com dois núcleos,4257,0,0,0,884,1264,1112,542,245,210,24336,,,
            Famílias sem filhos nos dois núcleos,472,0,0,0,394,68,7,1,2,0,1981,,,
              Famílias sem filhos nos dois núcleos sem outras pessoas,394,0,0,0,394,0,0,0,0,0,1576,,,
              Famílias sem filhos nos dois núcleos com outras pessoas,78,0,0,0,0,68,7,1,2,0,405,,,
            Famílias com filhos só num dos núcleos,1908,0,0,0,349,785,535,170,52,17,10294,,,
              Famílias com filhos só num dos núcleos sem outras pessoas,1608,0,0,0,349,731,399,100,21,8,8385,,,
              Famílias com filhos só num dos núcleos com outras pessoas,300,0,0,0,0,54,136,70,31,9,1909,,,
            Famílias com filhos nos dois núcleos,1877,0,0,0,141,411,570,371,191,193,12061,,,
              Famílias com filhos nos dois núcleos sem outras pessoas,1589,0,0,0,141,395,507,295,134,117,9863,,,
              Famílias com filhos nos dois núcleos com outras pessoas,288,0,0,0,0,16,63,76,57,76,2198,,,
          Famílias com três ou mais núcleos,355,0,0,0,0,0,26,43,56,230,3467,,,
            Famílias com três ou mais núcleos sem outras pessoas,286,0,0,0,0,0,26,39,52,169,2699,,,
            Famílias com três ou mais núcleos com outras pessoas,69,0,0,0,0,0,0,4,4,61,768,,,
    Região Autónoma da Madeira,92823,18141,23705,22738,17535,6572,2489,893,399,351,264652,,,
        Famílias sem núcleos,20833,18141,2149,421,82,23,12,3,2,0,24254,,,
          Famílias sem núcleos com uma só pessoa,18141,18141,0,0,0,0,0,0,0,0,18141,,,
          Famílias sem núcleos só pessoas aparentadas,2268,0,1797,370,69,17,11,2,2,0,5161,,,
          Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,424,0,352,51,13,6,1,1,0,0,952,,,
        Famílias com um núcleo,67079,0,21556,22317,16390,5051,1290,308,113,54,212198,,,
          Casal de direito sem filhos,13698,0,12505,1077,96,15,3,1,0,1,28734,,,
            Casal de direito sem filhos sem outras pessoas,12505,0,12505,0,0,0,0,0,0,0,25010,,,
            Casal de direito sem filhos com outras pessoas,1193,0,0,1077,96,15,3,1,0,1,3724,,,
          Casal de direito com pelo menos um filho com menos de 25 anos,28922,0,0,11169,12466,3978,969,226,74,40,111632,,,
            Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,26370,0,0,11169,11469,2912,624,129,48,19,99155,,,
            Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,2552,0,0,0,997,1066,345,97,26,21,12477,,,
          Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,5763,0,0,4000,1364,306,72,15,4,2,19575,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,5270,0,0,4000,1051,181,30,7,1,0,17346,,,
            Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,493,0,0,0,313,125,42,8,3,2,2229,,,
          Casal de facto sem filhos,2864,0,2564,271,24,5,0,0,0,0,6062,,,
            Casal de facto sem filhos sem outras pessoas,2564,0,2564,0,0,0,0,0,0,0,5128,,,
            Casal de facto sem filhos com outras pessoas,300,0,0,271,24,5,0,0,0,0,934,,,
          Casal de facto com pelo menos um filho com menos de 25 anos,3726,0,0,1921,1206,406,133,38,15,7,13869,,,
            Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,3364,0,0,1921,1010,301,93,26,9,4,12157,,,
            Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,362,0,0,0,196,105,40,12,6,3,1712,,,
          Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,198,0,0,141,45,9,1,0,2,0,670,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,177,0,0,141,29,6,0,0,1,0,577,,,
            Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,21,0,0,0,16,3,1,0,1,0,93,,,
          Pai com pelo menos um filho com menos de 25 anos,779,0,377,277,84,31,6,1,3,0,2143,,,
            Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,649,0,377,202,49,15,3,1,2,0,1672,,,
            Pai com pelo menos um filho com menos de 25 anos com outras pessoas,130,0,0,75,35,16,3,0,1,0,471,,,
          Pai com filho(s) tendo o mais novo 25 ou mais anos,698,0,492,160,36,7,3,0,0,0,1661,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,638,0,492,120,20,5,1,0,0,0,1455,,,
            Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,60,0,0,40,16,2,2,0,0,0,206,,,
          Mãe com pelo menos um filho com menos de 25 anos,5614,0,2330,2175,766,228,78,21,13,3,16139,,,
            Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,4537,0,2330,1571,453,132,35,10,6,0,12173,,,
            Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,1077,0,0,604,313,96,43,11,7,3,3966,,,
          Mãe com filho(s) tendo o mais novo 25 ou mais anos,4817,0,3288,1126,303,66,25,6,2,1,11713,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,4355,0,3288,822,185,44,13,0,2,1,10105,,,
            Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,462,0,0,304,118,22,12,6,0,0,1608,,,
        Famílias com dois núcleos,4564,0,0,0,1063,1498,1153,513,200,137,25166,,,
          Famílias sem filhos nos dois núcleos,380,0,0,0,340,35,3,1,1,0,1568,,,
            Famílias sem filhos nos dois núcleos sem outras pessoas,340,0,0,0,340,0,0,0,0,0,1360,,,
            Famílias sem filhos nos dois núcleos com outras pessoas,40,0,0,0,0,35,3,1,1,0,208,,,
          Famílias com filhos só num dos núcleos,1986,0,0,0,494,884,449,119,28,12,10265,,,
            Famílias com filhos só num dos núcleos sem outras pessoas,1777,0,0,0,494,823,366,80,12,2,8961,,,
            Famílias com filhos só num dos núcleos com outras pessoas,209,0,0,0,0,61,83,39,16,10,1304,,,
          Famílias com filhos nos dois núcleos,2198,0,0,0,229,579,701,393,171,125,13333,,,
            Famílias com filhos nos dois núcleos sem outras pessoas,1866,0,0,0,229,532,623,289,115,78,10998,,,
            Famílias com filhos nos dois núcleos com outras pessoas,332,0,0,0,0,47,78,104,56,47,2335,,,
        Famílias com três ou mais núcleos,347,0,0,0,0,0,34,69,84,160,3034,,,
          Famílias com três ou mais núcleos sem outras pessoas,298,0,0,0,0,0,34,63,79,122,2524,,,
          Famílias com três ou mais núcleos com outras pessoas,49,0,0,0,0,0,0,6,5,38,510,,,
      Região Autónoma da Madeira,92823,18141,23705,22738,17535,6572,2489,893,399,351,264652,,,
          Famílias sem núcleos,20833,18141,2149,421,82,23,12,3,2,0,24254,,,
            Famílias sem núcleos com uma só pessoa,18141,18141,0,0,0,0,0,0,0,0,18141,,,
            Famílias sem núcleos só pessoas aparentadas,2268,0,1797,370,69,17,11,2,2,0,5161,,,
            Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,424,0,352,51,13,6,1,1,0,0,952,,,
          Famílias com um núcleo,67079,0,21556,22317,16390,5051,1290,308,113,54,212198,,,
            Casal de direito sem filhos,13698,0,12505,1077,96,15,3,1,0,1,28734,,,
              Casal de direito sem filhos sem outras pessoas,12505,0,12505,0,0,0,0,0,0,0,25010,,,
              Casal de direito sem filhos com outras pessoas,1193,0,0,1077,96,15,3,1,0,1,3724,,,
            Casal de direito com pelo menos um filho com menos de 25 anos,28922,0,0,11169,12466,3978,969,226,74,40,111632,,,
